id_produit,nom_produit,marque_produit,prix_produit,en_promotion,date_fin_promo,categorie,sous_categorie,sous_sous_categorie,reference,code_article,gencod,url_produit
112140,Cloueur de finition V20 16Ga Lithium 18V sans batterie,STANLEY,279.900001,Non,,Bricolage,Outillage,Machine d'atelier,SFMCN616B-XJ,0526621,5035048724286,https://www.lamaison.fr/0526621.html
112093,Scie radiale GCM 18V-216 DC 1600W Brushless (produit seul),BOSCH PROFESSIONAL,759.000001,Non,,Bricolage,Outillage,Machine d'atelier,0601B47000,0526459,4059952608402,https://www.lamaison.fr/0526459.html
112144,Scie à onglet radiale 255mm 2000W STANLEY,STANLEY,439.899961,Non,,Bricolage,Outillage,Machine d'atelier,FME720-QS,0526619,5035048468876,https://www.lamaison.fr/0526619.html
85043,Découpeuse à disque à diamant thermique Ø35cm TS500i STIHL,STIHL,1998.999961,Non,,Bricolage,Outillage,Machine d'atelier,4250-200-0016,0484214,0886661706174,https://www.lamaison.fr/0484214.html
85044,Découpeuse à disque résine thermique Ø35cm TS700 STIHL,STIHL,1889.000041,Non,,Bricolage,Outillage,Machine d'atelier,TS,0376652,795711158934,https://www.lamaison.fr/0376652.html
85042,Découpeuse à disque résine thermique Ø35cm TS500i STIHL,STIHL,1889.000041,Non,,Bricolage,Outillage,Machine d'atelier,TS,0376650,795711830687,https://www.lamaison.fr/0376650.html
85045,Découpeuse à disque à diamant thermique Ø35cm TS700 STIHL,STIHL,1998.999961,Non,,Bricolage,Outillage,Machine d'atelier,42242000053,0484215,0886661706198,https://www.lamaison.fr/0484215.html
112172,Gonfleur compresseur V20 Lithium 18V sans batterie ,STANLEY,139.900081,Non,,Bricolage,Outillage,Machine d'atelier,SFMCE520B-QW,0526586,5035048724576,https://www.lamaison.fr/0526586.html
85327,Radio de chantier portable GPB 18V-2 SC - BOSCH PROFESSIONAL,BOSCH PROFESSIONAL,209.899921,Non,,Bricolage,Outillage,Machine d'atelier,06014A3100,0501431,4059952507828,https://www.lamaison.fr/0501431.html
85047,Découpeuse à disque à batterie TSA230 (produit seul) STIHL,STIHL,569.000041,Non,,Bricolage,Outillage,Machine d'atelier,TSA,0376656,795711977320,https://www.lamaison.fr/0376656.html
85046,Découpeuse à disque résine thermique Ø40cm TS800 STIHL,STIHL,1998.999961,Non,,Bricolage,Outillage,Machine d'atelier,TS,0376654,886661051014,https://www.lamaison.fr/0376654.html
99248,Scie à onglet radiale 230V XPS 1400W DEWALT,DEWALT,478.999921,Non,,Bricolage,Outillage,Machine d'atelier,DWS774-QS,0511441,5035048614099,https://www.lamaison.fr/0511441.html
94938,Lanterne LED 18V ONE+ (produit seul) RYOBI,RYOBI,54.990001,Non,,Bricolage,Outillage,Matériel de chantier,RLL18-0,0506737,4892210198129,https://www.lamaison.fr/0506737.html
88172,"Radio de chantier LXT 14,4 -18 V MAKITA",MAKITA,159.900001,Non,,Bricolage,Outillage,Matériel de chantier,DMR116,0493706,0088381750608,https://www.lamaison.fr/0493706.html
147836,Compresseur d'air à courroie 100L 3CV PRODIF,PRODIF,528.999961,Non,,Bricolage,Outillage,Machine d'atelier,VC3051003MG,0522486,3373270006841,https://www.lamaison.fr/0522486.html
101180,Découpeuse à pierre thermique GS461 36cm STIHL,STIHL,2979.000001,Non,,Bricolage,Outillage,Machine d'atelier,4252-200-0047,0517624,886661016495,https://www.lamaison.fr/0517624.html
100990,Chalumeau vulcane one,Null,79.899961,Non,,Bricolage,Outillage,Machine d'atelier,G460,0520351,3189640004603,https://www.lamaison.fr/0520351.html
