code_article,gencod,marque_produit,nom_produit,prix_produit,reference,url_produit
0381377,8436550204230,A, Plancha à gaz Forge Adour Origin G 60 A,"499,00 €",ORIGIN,https://www.lamaison.fr/0381377.html
0438356,3224780042198,ENO,Capot acier galvanisé noir pour plancha Initial 65,"78,90 €",CPI65,https://www.lamaison.fr/0438356.html
0418134,3563880095872,KRAMPOUZ,Chariot Plein Air KRAMPOUZ,"419,16 €",KHEA05,https://www.lamaison.fr/0418134.html
0381379,8436550204261,FORGE ADOUR,Plancha à gaz BASE FORGE ADOUR,"359,00 €",BASE,https://www.lamaison.fr/0381379.html
0418137,3563880112173,KRAMPOUZ,Housse pour chariot Plein Air Compact KRAMPOUZ,"78,50 €",AHC5,https://www.lamaison.fr/0418137.html
0438354,3224780040316,ENO,Housse chariot 80/90,"69,95 €",HCI085,https://www.lamaison.fr/0438354.html
0502653,0077924196515|077924196515,WEBER,Kit polyvalent pour barbecue Lumin Compact WEBER,"89,90 €",6613,https://www.lamaison.fr/0502653.html
0502652,0077924195327|077924195327,WEBER,Housse Premium pour barbecue Lumin WEBER,"44,90 €",7199,https://www.lamaison.fr/0502652.html
0502656,0077924193569|077924193569,WEBER,Spatule rigide pour plancha WEBER,"24,90 €",6779,https://www.lamaison.fr/0502656.html
0502657,0077924193576|077924193576,WEBER,Spatule flexible pour plancha WEBER,"24,90 €",6780,https://www.lamaison.fr/0502657.html
0418133,3563880101955,KRAMPOUZ,Chariot Plein Air Compact KRAMPOUZ,"299,16 €",KHEC01,https://www.lamaison.fr/0418133.html
0418135,3563880105229,KRAMPOUZ,Housse pour plancha Samba KRAMPOUZ,"48,50 €",AHP4,https://www.lamaison.fr/0418135.html
0418138,3563880112166,KRAMPOUZ,Housse pour chariot Plein Air KRAMPOUZ,"88,50 €",AHC4,https://www.lamaison.fr/0418138.html
0418136,3563880103119,KRAMPOUZ,Housse pour barbecue Mythic KRAMPOUZ,"43,90 €",AHB1,https://www.lamaison.fr/0418136.html
0504266,3292194565039,plancha,Lot de 3 accessoires barbecue et plancha,"29,95 €",456503CDS,https://www.lamaison.fr/0504266.html
0425865,3563880092734,KRAMPOUZ,Housse pour plancha Design et K KRAMPOUZ,"50,90 €",AHP3,https://www.lamaison.fr/0425865.html
0418142,3563880102549,KRAMPOUZ,Barquettes pour barbecue Mythic et DUO K KRAMPOUZ (Lot de 2),"19,90 €",ABB1,https://www.lamaison.fr/0418142.html
0504573,0077924193613|077924193613,WEBER,Couvercle de cuisson pour plancha WEBER,"49,90 €",6783,https://www.lamaison.fr/0504573.html
0504574,0077924193637|077924193637,WEBER,Presse à burger en fonte WEBER,"39,90 €",6785,https://www.lamaison.fr/0504574.html
0504575,0077924161780,WEBER,Grille Spirit pour séries 300 et Smokefire WEBER,"79,99 €",7011,https://www.lamaison.fr/0504575.html
0528698,0077924159619|077924159619,WEBER,Spatule en acier inoxydable WEBER,"11,99 €",6318,https://www.lamaison.fr/0528698.html
0528693,0077924991929|077924991929,WEBER,Housse Premium pour plancha 43 cm WEBER,"49,99 €",3400112,https://www.lamaison.fr/0528693.html
0528695,0077924991905|077924991905,WEBER,Housse pour plancha 76 cm WEBER,"99,99 €",3400110,https://www.lamaison.fr/0528695.html
0528697,0077924159602|077924159602,WEBER,Pince en acier inoxydable WEBER,"11,99 €",6317,https://www.lamaison.fr/0528697.html
9366193,3224780037316,ENO,Housse plancha 45/50 pop-up noire,"34,95 €",HPI45,https://www.lamaison.fr/9366193.html
0389610,0077924122873|077924122873,WEBER,Tête de remplacement pour éponge métallique,"5,79 €",6210,https://www.lamaison.fr/0389610.html
0358091,3292197050624,émaillée,Plancha gaz avec plaque Arenc en fonte émaillée,"299,00 €",705062,https://www.lamaison.fr/0358091.html
0386883,0077924051418|077924051418,WEBER,Chiffon microfibre,"3,79 €",17689,https://www.lamaison.fr/0386883.html
0437890,3292198043373,Oliana,Plancha électrique Oliana,"182,00 €",804337,https://www.lamaison.fr/0437890.html
0437888,3292197152373,émaillée,Plancha à gaz Solia 200 2 feux plaque fonte émaillée,"189,90 €",715237,https://www.lamaison.fr/0437888.html
8112662,3563880083671,KRAMPOUZ,Housse pour plancha Saveur double KRAMPOUZ,"50,90 €",AHP2,https://www.lamaison.fr/8112662.html
0437889,3292197162372,émaillée,Plancha à gaz Solia 300 3 feux plaque fonte émaillée,"249,90 €",716237,https://www.lamaison.fr/0437889.html
0502651,0077924195310|077924195310,WEBER,Housse Premium pour barbecue Lumin Stand WEBER,"69,90 €",7198,https://www.lamaison.fr/0502651.html
